SampleID;Temp;COD_in;COD_eff;COD_removal;TAN_in;TAN_eff;TAN_removal;HRT;;;
OD149OT149.77;25.50;1700.00;300.50;0.82;126.26;6.11;0.95;2;;;
OD149OT149.78;25.50;NA;NA;NA;NA;NA;NA;2;;;
OD151OT151.38;25.40;NA;NA;NA;NA;NA;NA;2;;;
OD151OT151.74;25.50;NA;NA;NA;NA;NA;NA;2;;;
OD153OT153.38;NA;NA;NA;NA;NA;NA;NA;2;;;
OD153OT153;NA;NA;NA;NA;NA;NA;NA;2;;;
OD154OT154;NA;NA;NA;NA;NA;NA;NA;2;;;
OD154OT154;NA;NA;NA;NA;NA;NA;NA;2;;;
OD155OT155.38;NA;NA;NA;NA;NA;NA;NA;3;;;
OD155OT155;NA;NA;NA;NA;NA;NA;NA;3;;;
OD158OT158;NA;NA;NA;NA;NA;NA;NA;3;;;
OD158OT158;NA;NA;NA;NA;NA;NA;NA;3;;;
OD159OT159;NA;NA;NA;NA;NA;NA;NA;3;;;
OD159OT159;NA;NA;NA;NA;NA;NA;NA;3;;;
OD160OT160;NA;NA;NA;NA;NA;NA;NA;3;;;
OD160OT160;NA;NA;NA;NA;NA;NA;NA;3;;;
OD161OT161;NA;NA;NA;NA;NA;NA;NA;3;;;
OD161OT161;NA;NA;NA;NA;NA;NA;NA;3;;;
OD162OT162.38;NA;NA;NA;NA;NA;NA;NA;3;;;
OD165OT165.48;23.90;NA;NA;NA;NA;NA;NA;3;;;
OD165OT165.72;23.50;NA;NA;NA;NA;NA;NA;3;;;
OD165OT165.73;23.50;NA;NA;NA;NA;NA;NA;3;;;
OD166OT166.38;23.50;NA;NA;NA;NA;NA;NA;3;;;
OD166OT166.79;23.50;NA;NA;NA;NA;NA;NA;3;;;
OD167OT167.35;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD167OT167.71;22.90;NA;NA;NA;NA;NA;NA;3;;;
OD168OT168.38;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD168OT168.6;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD168OT168.77;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD169OT169.38;23.00;2270.00;92.50;0.96;78.58;0.00;1.00;3;;;
OD169OT169.44;22.80;NA;NA;NA;NA;NA;NA;3;;;
OD169OT169.72;22.80;NA;NA;NA;NA;NA;NA;3;;;
OD172OT172.38;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD172OT172.46;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD172OT172.77;23.40;NA;NA;NA;NA;NA;NA;3;;;
OD173OT173.33;23.60;NA;NA;NA;NA;NA;NA;3;;;
OD173OT173.42;23.50;NA;NA;NA;NA;NA;NA;2;;;
OD173OT173.69;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD174OT174.33;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD174OT174.75;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD175OT175.35;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD175OT175.81;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD176OT176.38;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD176OT176.69;23.60;NA;NA;NA;NA;NA;NA;2;;;
OD177OT177.35;24.00;2000.00;33.00;0.98;78.24;0.08;1.00;2;;;
OD177OT177.36;24.00;NA;NA;NA;NA;NA;NA;2;;;
OD179OT179.44;24.00;1870.00;113.00;0.94;110.64;0.05;1.00;2;;;
OD179OT179.46;24.00;NA;NA;NA;NA;NA;NA;2;;;
OD180OT180.38;24.30;NA;NA;NA;NA;NA;NA;2;;;
OD180OT180.75;24.50;NA;NA;NA;NA;NA;NA;2;;;
OD181OT181.38;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD181OT181.42;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD181OT181.73;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD182OT182.34;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD182OT182.75;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD183OT183.38;23.00;NA;NA;NA;NA;NA;NA;2;;;
OD183OT183.67;22.90;NA;NA;NA;NA;NA;NA;2;;;
OD184OT184.36;23.50;1830.00;93.00;0.95;70.85;0.04;1.00;2;;;
OD184OT184.38;23.50;NA;NA;NA;NA;NA;NA;2;;;
OD186OT186.38;23.90;NA;NA;NA;NA;NA;NA;2;;;
OD186OT186.42;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD187OT187.35;23.70;NA;NA;NA;NA;NA;NA;2;;;
OD187OT187.7;23.60;NA;NA;NA;NA;NA;NA;2;;;
OD187OT187.71;23.60;NA;NA;NA;NA;NA;NA;2;;;
OD188OT188.38;24.00;NA;NA;NA;NA;NA;NA;2;;;
OD188OT188.46;23.90;NA;NA;NA;NA;NA;NA;2;;;
OD188OT188.71;23.80;NA;NA;NA;NA;NA;NA;2;;;
